Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
YESBANK,EQ,28-May-19,146.8,148.95,154.9,148.2,153.4,152.8,152.4,"8,16,70,499","12,44,69,19,563.75","4,34,119","1,85,11,760",22.67
YESBANK,EQ,29-May-19,152.8,154,156,150.65,151.7,151.7,153.22,"4,90,00,782","7,50,79,68,182.95","2,46,452","92,86,518",18.95
YESBANK,EQ,30-May-19,151.7,150.2,156.5,149.9,155.25,155,154.16,"5,54,75,576","8,55,18,56,947.45","2,62,051","1,00,67,699",18.15
YESBANK,EQ,31-May-19,155,156.6,157,147,147.55,147.8,151.35,"6,33,68,992","9,59,07,43,956.70","2,91,783","1,41,42,645",22.32
YESBANK,EQ,3-Jun-19,147.8,148,149.9,144.5,149.5,149.45,147.92,"4,02,72,408","5,95,68,95,906.40","2,13,368","55,16,717",13.7
YESBANK,EQ,4-Jun-19,149.45,148.8,153.85,148.55,153.35,152.8,152.13,"4,55,60,540","6,93,09,87,753.85","2,11,449","69,24,669",15.2
YESBANK,EQ,6-Jun-19,152.8,148.45,151.2,142.3,143.85,143.4,146.84,"6,51,69,529","9,56,95,69,223.95","3,28,748","1,23,98,785",19.03
YESBANK,EQ,7-Jun-19,143.4,143.4,145.45,136.15,140,139.9,140.82,"6,62,06,668","9,32,29,25,263.65","3,28,918","1,03,27,937",15.6
YESBANK,EQ,10-Jun-19,139.9,141.9,145,132.55,136.5,135.9,137.32,"8,63,98,912","11,86,41,66,978.65","4,22,780","1,48,37,602",17.17
YESBANK,EQ,11-Jun-19,135.9,135,143.5,133.75,139.75,139.55,139.37,"8,09,46,657","11,28,14,81,783.70","3,73,154","1,18,12,614",14.59
YESBANK,EQ,12-Jun-19,139.55,136,137.8,133.6,135.1,134.75,135.29,"5,62,36,715","7,60,81,20,756.90","2,95,801","1,17,75,435",20.94
YESBANK,EQ,13-Jun-19,134.75,130.8,130.8,116,116.6,117.1,121.38,"19,71,54,833","23,93,14,43,078.15","8,91,767","4,21,55,116",21.38
YESBANK,EQ,14-Jun-19,117.1,118.5,121,112.85,114.65,115.05,116.42,"15,51,69,990","18,06,42,08,890.05","6,30,153","2,01,18,073",12.97
YESBANK,EQ,17-Jun-19,115.05,118,118.35,113.75,115.9,116.15,116.03,"8,44,36,078","9,79,74,31,507.05","3,47,747","1,94,78,096",22.45
YESBANK,EQ,18-Jun-19,116.15,116,117.5,107.1,109.25,109.3,112.35,"11,66,04,528","13,10,05,46,992.35","4,82,488","1,24,57,719",10.47
YESBANK,EQ,19-Jun-19,109.3,109,111.45,101.3,103.95,103.2,105.39,"12,64,58,237","13,32,78,34,091.20","5,29,303","1,88,88,928",14.94
YESBANK,EQ,20-Jun-19,103.2,102,115.9,98.7,115,114.55,108.11,"15,93,93,077","17,23,16,30,624.50","6,03,801","1,62,90,818",10.22
YESBANK,EQ,21-Jun-19,114.55,114.55,114.8,108.25,109.4,109.6,110.79,"10,64,21,502","11,79,08,80,189.80","4,24,333","1,05,92,368",9.95
YESBANK,EQ,24-Jun-19,109.6,112,114,108.85,111.4,111.95,111.57,"7,96,95,315","8,89,17,13,059.50","3,17,682","49,68,281",6.23
YESBANK,EQ,25-Jun-19,111.95,111,112.5,109.1,109.65,110.05,110.29,"5,68,92,279","6,27,43,74,406.60","2,17,623","64,83,863",11.4
YESBANK,EQ,26-Jun-19,110.05,109,114.65,108.4,112.35,113.05,112.1,"7,28,79,532","8,16,96,45,315.40","2,64,838","79,59,093",10.92
YESBANK,EQ,27-Jun-19,113.05,113.05,114.5,111.8,112.5,112.4,112.9,"5,12,80,994","5,78,95,63,456.65","2,00,990","60,41,106",11.78
YESBANK,EQ,28-Jun-19,112.4,112.5,113,107.5,108.5,108.75,109.58,"6,88,54,685","7,54,54,34,250.05","2,71,806","1,00,81,464",14.64
YESBANK,EQ,1-Jul-19,108.75,109.5,110.5,107.65,108.85,109.15,109.28,"4,25,45,442","4,64,94,99,516.60","1,82,598","52,13,320",12.25
YESBANK,EQ,2-Jul-19,109.15,108.05,108.05,99.8,100.1,100.8,102.62,"14,96,69,579","15,35,87,04,802.60","5,67,323","3,50,49,591",23.42
YESBANK,EQ,3-Jul-19,100.8,100.75,103.8,98.85,99.8,99.75,101.21,"11,26,67,717","11,40,36,37,039.40","3,95,027","2,60,18,189",23.09
YESBANK,EQ,4-Jul-19,99.75,101,102.15,95.2,96.7,96.25,98.59,"10,81,05,010","10,65,83,59,318.25","3,93,181","2,08,44,446",19.28
YESBANK,EQ,5-Jul-19,96.25,95,96.85,87.4,87.95,88.15,91.41,"22,05,46,903","20,16,00,55,229.05","7,90,884","4,77,72,205",21.66
YESBANK,EQ,8-Jul-19,88.15,87,94.6,85.65,93.35,93.15,92.11,"19,76,75,527","18,20,84,29,501.55","6,22,435","2,30,44,192",11.66
YESBANK,EQ,9-Jul-19,93.15,95,97,90.3,92.2,91.35,93.9,"13,78,63,884","12,94,54,31,453.55","4,77,366","1,28,29,652",9.31
YESBANK,EQ,10-Jul-19,91.35,92.15,94,91.5,93.25,93,92.92,"7,57,76,545","7,04,12,54,247.70","2,57,668","62,10,850",8.2
